#,Name of Allah,Meaning (Arabic),Meaning (English)
1,الله (Allah),الاسم الأعظم، الذي يدل على الذات الإلهية المعبودة.,"The Greatest Name, which indicates the Divine Essence that is worshipped."
2,الأحد (Al-Ahad),الفريد في ذاته وصفاته، الواحد الأحد.,"The Unique in His Essence and Attributes, the One and Only."
3,الأعلى (Al-A’laa),العليّ في ذاته وصفاته، المتعالي عن كل نقص.,"The Most High in His Essence and Attributes, transcendent above all imperfection."
4,الأكرم (Al-Akram),الواسع الكرم، الذي لا يحدّ كرمه حد.,"The Most Generous, whose generosity is boundless."
5,الإله (Al-Ilaah),المعبود بحق، المستحق للعبادة.,"The Deity, the One who truly deserves to be worshipped."
6,الأول (Al-Awwal),الأزليّ الذي ليس قبله شيء.,"The First, the Eternal, who has no beginning."
7,الآخر (Al-Aakhir),الباقي بعد فناء كل شيء.,"The Last, the Everlasting, who remains after all else has perished."
8,الظاهر (Az-Zaahir),الذي علا على كل شيء.,"The Manifest, the One who is above all things."
9,الباطن (Al-Baatin),الذي يعلم السرّ وأخفى.,"The Hidden, the One who knows the secrets and what is most concealed."
10,البارئ (Al-Baari),الخالق المبدع من غير مثال سابق.,"The Originator, the Creator who brings into being without any prior example."
11,البرّ (Al-Barr),الذي لا يزال برّه وإحسانه على خلقه.,"The Source of All Goodness, whose kindness and benevolence are continuous upon His creation."
12,البصير (Al-Baseer),الذي لا يخفى عليه شيء في الأرض ولا في السماء.,"The All-Seeing, from whom nothing in the earth or the heavens is hidden."
13,التواب (At-Tawwaab),الذي يقبل توبة عباده ويعفو عنهم.,"The Accepter of Repentance, the One who guides to repentance and accepts it."
14,الجبار (Al-Jabbaar),الذي قهر كل شيء بجبروته.,"The Compeller, the One whose might compels all things to submit."
15,الحفيظ (Al-Haafiz),الحافظ لخلقه، الذي يحفظ السماوات والأرض.,"The Protector, the Guardian of His creation, who preserves the heavens and the earth."
16,الحسيب (Al-Haseeb),الكافي لعباده، الذي يحفظ أعمالهم ويجازيهم عليها.,"The Reckoner, the Sufficient One for His servants, who records their deeds and recompenses them accordingly."
17,الحفيظ (Al-Hafeez),الحافظ لعباده من كل سوء.,"The Preserver, the One who protects His servants from all evil."
18,الحفيّ (Al-Hafee),اللطيف بعباده، الذي يغيثهم ويرحمهم.,"The Benevolent, the Gentle One with His servants, who aids and has mercy upon them."
19,الحقّ (Al-Haqq),الثابت الوجود، الذي لا شكّ في وجوده.,"The Truth, the One whose existence is certain and absolute."
20,المبين (Al-Mubeen),الواضح الدلالة على وحدانيته.,"The Manifest, the One whose Oneness is evident."
21,الحكيم (Al-Hakeem),الحكيم في خلقه وأمره.,"The Wise, the One whose decrees and actions are perfect in wisdom."
22,الحليم (Al-Haleem),الذي لا يعاجل بالعقوبة، بل يؤخرها ليتوب عباده.,"The Forbearing, the One who does not hasten to punish, but gives time for repentance."
23,الحميد (Al-Hameed),المحمود في جميع أفعاله.,"The Praiseworthy, the One who is praised for all His actions."
24,الحيّ (Al-Hayy),الحيّ الذي لا يموت.,"The Ever-Living, the One who has life without end."
