#,Name,Name (English),Meaning,Reference from the Qur'an (Arabic),Reference from the Qur'an (English),Citation (Number),Meaning (Arabic),Meaning (English)
1,الله,Allah,God,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,"“In the name of Allah , the Entirely Merciful, the Especially Merciful.”",[1:1],الاسم الأعظم، الذي يدل على الذات الإلهية المعبودة.,"The Greatest Name, which indicates the Divine Essence that is worshipped."
2,الأحَد,Al-Ahad,The One/Unique,اللَّهُ الصَّمَدُ,"“Say, “He is Allah , One”",[112:1]
3,الأعْلَى,Al-A’laa,The Most Exalted/ High,سَبِّحِ اسْمَ رَبِّكَ الْأَعْلَى,"“Exalt the name of your Lord, the Most High”",[87:1]
4,الأكْرَم,Al-Akram,The Most Generous,… اقْرَأْ وَرَبُّكَ الْأَكْرَمُ,"“Recite, and your Lord is the most Generous”",[96:3]
5,الإله,Al-Ilaah,The One Who Alone Deserves to be Worshiped,… وَإِلَـهُكُمْ إِلَهٌ وَاحِدٌ,"“And your god is one God…”",[2:163]
6,الأوَّل,Al-Awwal,The First,هُوَ الْأَوَّلُ وَالْآخِرُ وَالظَّاهِرُ وَالْبَاطِنُ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ,"“He is the First and the Last, the Ascendant and the Intimate, and He is, of all things, Knowing.”",[57:3]
7,الآخِر,Al-Aakhir,The Last,هُوَ الْأَوَّلُ وَالْآخِرُ وَالظَّاهِرُ وَالْبَاطِنُ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ,"“He is the First and the Last, the Ascendant and the Intimate, and He is, of all things, Knowing.”",[57:3]
8,الظاهِر,Az-Zaahir,The Most High,هُوَ الْأَوَّلُ وَالْآخِرُ وَالظَّاهِرُ وَالْبَاطِنُ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ,"“He is the First and the Last, the Ascendant and the Intimate, and He is, of all things, Knowing.”",[57:3]
9,البَاطِن,Al-Baatin,The Most Near,هُوَ الْأَوَّلُ وَالْآخِرُ وَالظَّاهِرُ وَالْبَاطِنُ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ,"“He is the First and the Last, the Ascendant and the Intimate, and He is, of all things, Knowing.”",[57:3]
10,البارِئ,Al-Baari,The Originator,…هُوَ اللَّهُ الْخَالِقُ الْبَارِئُ الْمُصَوِّرُ,"“He is Allah , the Creator, the Inventor (originator), the Fashioner…”",[59:24]
11,البَرّ,Al-Barr,The Most Kind,إِنَّهُ هُوَ الْبَرُّ الرَّحِيمُ…,"“Indeed, it is He who is the Beneficent (Most Kind), the Merciful.”",[52:28]
12,البَصِير,Al-Baseer,The All Seeing,إِنَّهُ هُوَ السَّمِيعُ البَصِيرُ…,"“Indeed, He is the Hearing, the Seeing.”",[17:1]
13,التَّوَّاب,At-Tawwaab,The One Who Accepts the repentance,إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ…,"“Indeed, it is He who is the Accepting of repentance, the Merciful.”",[2:37]
14,الجَبَّار,Al-Jabbaar,The Compeller,هُوَ اللَّهُ الَّذِي لَا إِلَهَ إِلَّا هُوَ الْمَلِكُ الْقُدُّوسُ السَّلَامُ الْمُؤْمِنُ الْمُهَيْمِنُ الْعَزِيزُ الْجَبَّارُ الْمُتَكَبِّرُ,"“He is Allah, other than whom there is no deity, the Sovereign, the Pure, the Perfection, the Bestower of Faith, the Overseer (dominant), the Exalted in Might, the Compeller, the Superior…”",[59:23]
15,الحافِظ,Al-Haafiz,The Protector,فَاللّهُ خَيْرٌ حَافِظًا وَهُوَ أَرْحَمُ الرَّاحِمِينَ …,"“But Allah is the best guardian…”",[12:64]
16,الحَسِيب,Al-Haseeb,The Sufficient/ Ever-Reckoner,إِنَّ اللّهَ كَانَ عَلَى كُلِّ شَيْءٍ حَسِيبًا …,"“Indeed, Allah is ever, over all things, an Accountant (Ever-Reckoner).”",[4:86]
17,الحَفِيظ,Al-Hafeez,The Preserver,وَرَبُّكَ عَلَى كُلِّ شَيْءٍ حَفِيظٌ,"“And your Lord, over all things, is Guardian (Preserver).”",[34:21]
18,الحَفِيُّ,Al-Hafee,The Benevolent/ Ever-Hospitable,إِنَّهُ كَانَ بِي حَفِيًّا,"“Indeed, He is ever gracious to me (Ever-Hospitable).”",[19:47]
19,الحقّ,Al-Haqq,The Truth,أَنَّ اللّهَ هُوَ الْحَقُّ الْمُبِينُ,"“it is Allah who is the perfect in justice.”",[24:25]
20,المُبِين,Al-Mubeen,The Evident,أَنَّ اللّهَ هُوَ الْحَقُّ الْمُبِينُ,"“it is Allah who is the perfect in justice.”",[24:25]
21,الحَكِيم,Al-Hakeem,The All-Wise,وَهُوَ الْقَاهِرُ فَوْقَ عِبَادِهِ وَهُوَ الْحَكِيمُ الْخَبِيرُ,"“And He is the subjugator over His servants. And He is the Wise, the Acquainted .”",[6:18]
22,الحَلِيم,Al-Haleem,The Forbearing,إِنَّ اللّهَ غَفُورٌ حَلِيمٌ,"“Indeed, Allah is Forgiving and Forbearing.”",[3:155]
23,الحَمِيد,Al-Hameed,The Praiseworthy,فَإِنَّ اللّهَ هُوَ الْغَنِيُّ الْحَمِيدُ,"“indeed, Allah is the Free of need, the Praiseworthy.”",[57:24]
24,الحَيّ,Al-Hayy,The Ever Living,اللّهُ لاَ إِلَـهَ إِلاَّ هُوَ الْحَيُّ الْقَيُّومُ,"“Allah – there is no deity except Him, the Ever-Living, the Sustainer of existence…”",[2:255]
25,القَيُّوم,Al-Qayyoom,The Self Sustaining,اللّهُ لاَ إِلَـهَ إِلاَّ هُوَ الْحَيُّ الْقَيُّومُ,"“Allah – there is no deity except Him, the Ever-Living, the Sustainer of existence…”",[2:255]
26,الخَبِير,Al-Khabeer,The Fully Aware,إِنَّ اللّهَ لَطِيفٌ خَبِيرٌ…,"“Indeed, Allah is Subtle and Acquainted.”",[22:63]
27,الخَالِق,Al-Khaaliq,The Creator of Everything,هُوَ اللَّهُ الْخَالِقُ الْبَارِئُ الْمُصَوِّرُ,"“He is Allah , the Creator, the Inventor, the Fashioner…”",[59:24]
28,الخَلاّق,Al-Khallaaq,The Creator Who Creates Again & Again,إِنَّ رَبَّكَ هُوَ الْخَلاَّقُ الْعَلِيمُ,"“Indeed, your Lord – He is the Knowing Creator.”",[15:86]
29,الرَّؤُوف,Ar-Ra’oof,The Compassionate,وَأَنَّ اللّه رَؤُوفٌ رَّحِيمٌ…,"“and because Allah is Kind and Merciful.”",[24:20]
30,الرَّحْمَٰنِ,Ar-Rahmaan,The Extremely Merciful,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,"“In the name of Allah , the Entirely Merciful, the Especially Merciful.”",[1:1]
31,الرَّحِيم,Ar-Raheem,The Bestower of Mercy,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,"“In the name of Allah , the Entirely Merciful, the Especially Merciful.”",[1:1]
32,الرَّزَّاق,Ar-Razzaaq,The Great Provider,إِنَّ اللّهَ هُوَ الرَّزَّاقُ ذُو الْقُوَّةِ الْمَتِينُ,"“Indeed, it is Allah who is the Provider, the firm possessor of strength.”",[51:58]
33,الرَّقِيب,Ar-Raqeeb,The Watchful,فَلَمَّا تَوَفَّيْتَنِي كُنتَ أَنتَ الرَّقِيبَ,"“but when You took me up, You were the Observer over them…”",[5:117]
34,السّلام,As-Salaam,The Flawless One,هُوَ اللَّهُ الَّذِي لَا إِلَهَ إِلَّا هُوَ الْمَلِكُ الْقُدُّوسُ السَّلَامُ الْمُؤْمِنُ الْمُهَيْمِنُ الْعَزِيزُ الْجَبَّارُ الْمُتَكَبِّرُ,"“He is Allah, other than whom there is no deity, the Sovereign, the Pure, the Perfection, the Bestower of Faith, the Overseer, the Exalted in Might, the Compeller, the Superior…”",[59:23]
35,السَّمِيع,‘As-Samee,The All Hearing,إِنَّهُ هُوَ السَّمِيعُ البَصِيرُ…,"“Indeed, He is the Hearing, the Seeing.”",[17:1]
36,الشَاكِر,Ash-Shaakir,The Grateful,فَإِنَّ اللّهَ شَاكِرٌ عَلِيمٌ,"“then indeed, Allah is appreciative (Grateful) and Knowing.”",[2:158]
