#,NAME OF ALLAH,MEANING,REFERENCE FROM THE QUR’AN
1,الله,God,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ
,(Allah),أ ل ه,"“In the name of Allah , the Entirely Merciful, the Especially Merciful.” [1:1]"
2,الأحَد,The One/Unique,اللَّهُ الصَّمَدُ
,(Al-Ahad),أ ح د,"“Say, “He is Allah , One” [112:1]"
3,الأعْلَى,The Most Exalted/ High,سَبِّحِ اسْمَ رَبِّكَ الْأَعْلَى
,(Al-A’laa),ع ل و,"“Exalt the name of your Lord, the Most High” [87:1]"
4,الأكْرَم,The Most Generous,… اقْرَأْ وَرَبُّكَ الْأَكْرَمُ
,(Al-Akram),ك ر م,"“Recite, and your Lord is the most Generous” [96:3]"
5,الإله,The One Who Alone Deserves to be Worshiped,… وَإِلَـهُكُمْ إِلَهٌ وَاحِدٌ
,(Al-Ilaah),أ ل ه,“And your god is one God…” [2:163]
6,الأوَّل,The First,هُوَ الْأَوَّلُ وَالْآخِرُ وَالظَّاهِرُ وَالْبَاطِنُ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ
,(Al-Awwal),أ و ل,"“He is the First and the Last, the Ascendant and the Intimate, and He is, of all things, Knowing.” [57:3]"
7,الآخِر,The Last,هُوَ الْأَوَّلُ وَالْآخِرُ وَالظَّاهِرُ وَالْبَاطِنُ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ
,(Al-Aakhir),أ خ ر,"“He is the First and the Last, the Ascendant and the Intimate, and He is, of all things, Knowing.” [57:3]"
8,الظاهِر,The Most High,هُوَ الْأَوَّلُ وَالْآخِرُ وَالظَّاهِرُ وَالْبَاطِنُ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ
,(Az-Zaahir),ظ ه ر,"“He is the First and the Last, the Ascendant and the Intimate, and He is, of all things, Knowing.” [57:3]"
9,البَاطِن,The Most Near,هُوَ الْأَوَّلُ وَالْآخِرُ وَالظَّاهِرُ وَالْبَاطِنُ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ
,(Al-Baatin),ب ط ن,"“He is the First and the Last, the Ascendant and the Intimate, and He is, of all things, Knowing.” [57:3]"
10,البارِئ,The Originator,…هُوَ اللَّهُ الْخَالِقُ الْبَارِئُ الْمُصَوِّرُ
,(Al-Baari),ب ر أ,"“He is Allah , the Creator, the Inventor (originator), the Fashioner…” [59:24]"
11,البَرّ,The Most Kind,إِنَّهُ هُوَ الْبَرُّ الرَّحِيمُ…
,(Al-Barr),ب ر ر,"“…Indeed, it is He who is the Beneficent (Most Kind), the Merciful.” [52:28]"
12,البَصِير,The All Seeing,إِنَّهُ هُوَ السَّمِيعُ البَصِيرُ…
,(Al-Baseer),ب ص ر,"“…Indeed, He is the Hearing, the Seeing.” [17:1]"
13,التَّوَّاب,The One Who Accepts the repentance,إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ…
,(At-Tawwaab),ت و ب,"“…Indeed, it is He who is the Accepting of repentance, the Merciful.” [2:37]"
14,الجَبَّار,The Compeller,هُوَ اللَّهُ الَّذِي لَا إِلَهَ إِلَّا هُوَ الْمَلِكُ الْقُدُّوسُ السَّلَامُ الْمُؤْمِنُ الْمُهَيْمِنُ الْعَزِيزُ الْجَبَّارُ الْمُتَكَبِّرُ
,(Al-Jabbaar),ج ب ر,"“He is Allah, other than whom there is no deity, the Sovereign, the Pure, the Perfection, the Bestower of Faith, the Overseer (dominant), the Exalted in Might, the Compeller, the Superior…” [59:23]"
15,الحافِظ,The Protector,فَاللّهُ خَيْرٌ حَافِظًا وَهُوَ أَرْحَمُ الرَّاحِمِينَ …
,(Al-Haafiz),ح ف ظ,“…But Allah is the best guardian…” [12:64]
16,الحَسِيب,The Sufficient/ Ever-Reckoner,إِنَّ اللّهَ كَانَ عَلَى كُلِّ شَيْءٍ حَسِيبًا …
,(Al-Haseeb),ح س ب,"“…Indeed, Allah is ever, over all things, an Accountant (Ever-Reckoner).” [4:86]"
17,الحَفِيظ,The Preserver,وَرَبُّكَ عَلَى كُلِّ شَيْءٍ حَفِيظٌ
,(Al-Hafeez),ح ف ظ,"“…And your Lord, over all things, is Guardian (Preserver).” [34:21]"
18,الحَفِيُّ,The Benevolent/ Ever-Hospitable,إِنَّهُ كَانَ بِي حَفِيًّا
,(Al-Hafee),ح ف و,"“…Indeed, He is ever gracious to me (Ever-Hospitable).” [19:47]"
19,الحقّ,The Truth,أَنَّ اللَّهَ هُوَ الْحَقُّ الْمُبِينُ
,(Al-Haqq),ح ق ق,“… it is Allah who is the perfect in justice.” [24:25]
20,المُبِين,The Evident,أَنَّ اللَّهَ هُوَ الْحَقُّ الْمُبِينُ
,(Al-Mubeen),ب ي ن,“… it is Allah who is the perfect in justice.” [24:25]
21,الحَكِيم,The All-Wise,وَهُوَ الْقَاهِرُ فَوْقَ عِبَادِهِ وَهُوَ الْحَكِيمُ الْخَبِيرُ
,(Al-Hakeem),ح ك م,"“And He is the subjugator over His servants. And He is the Wise, the Acquainted .” [6:18]"
22,الحَلِيم,The Forbearing,إِنَّ اللّهَ غَفُورٌ حَلِيمٌ
,(Al-Haleem),ح ل م,"“…Indeed, Allah is Forgiving and Forbearing.” [3:155]"
23,الحَمِيد,The Praiseworthy,فَإِنَّ اللَّهَ هُوَ الْغَنِيُّ الْحَمِيدُ
,(Al-Hameed),ح م د,"“…indeed, Allah is the Free of need, the Praiseworthy.” [57:24]"
24,الحَيّ,The Ever Living,اللّهُ لاَ إِلَـهَ إِلاَّ هُوَ الْحَيُّ الْقَيُّومُ
,(Al-Hayy),ح ي ي,"“Allah – there is no deity except Him, the Ever-Living, the Sustainer of existence…” [2:255]"
25,القَيُّوم,The Self Sustaining,اللّهُ لاَ إِلَـهَ إِلاَّ هُوَ الْحَيُّ الْقَيُّومُ
,(Al-Qayyoom),ق و م,"“Allah – there is no deity except Him, the Ever-Living, the Sustainer of existence…” [2:255]"
26,الخَبِير,The Fully Aware,إِنَّ اللَّهَ لَطِيفٌ خَبِيرٌ…
,(Al-Khabeer),خ ب ر,"“…Indeed, Allah is Subtle and Acquainted.” [22:63]"
27,الخَالِق,The Creator of Everything,هُوَ اللَّهُ الْخَالِقُ الْبَارِئُ الْمُصَوِّرُ
,(Al-Khaaliq),خ ل ق,"“He is Allah , the Creator, the Inventor, the Fashioner…” [59:24]"
28,الخَلاّق,The Creator Who Creates Again & Again,إِنَّ رَبَّكَ هُوَ الْخَلاَّقُ الْعَلِيمُ
,(Al-Khallaaq),خ ل ق,"“Indeed, your Lord – He is the Knowing Creator.” [15:86]"
29,الرَّؤُوف,The Compassionate,وَأَنَّ اللَّه رَؤُوفٌ رَّحِيمٌ…
,(Ar-Ra’oof),ر أ ف,“…and because Allah is Kind and Merciful.”[24:20]
30,الرَّحْمَٰنِ,The Extremely Merciful,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ
,(Ar-Rahmaan),ر ح م,"“In the name of Allah , the Entirely Merciful, the Especially Merciful.” [1:1]"
31,الرَّحِيم,The Bestower of Mercy,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ
,(Ar-Raheem),ر ح م,"“In the name of Allah , the Entirely Merciful, the Especially Merciful.” [1:1]"
32,الرَّزَّاق,The Great Provider,إِنَّ اللَّهَ هُوَ الرَّزَّاقُ ذُو الْقُوَّةِ الْمَتِينُ
,(Ar-Razzaaq),ر ز ق,"“Indeed, it is Allah who is the Provider, the firm possessor of strength.” [51:58]"
33,الرَّقِيب,The Watchful,فَلَمَّا تَوَفَّيْتَنِي كُنتَ أَنتَ الرَّقِيبَ
,(Ar-Raqeeb),ر ق ب,"“…but when You took me up, You were the Observer over them…” [5:117]"
34,السّلام,The Flawless One,هُوَ اللَّهُ الَّذِي لَا إِلَهَ إِلَّا هُوَ الْمَلِكُ الْقُدُّوسُ السَّلَامُ الْمُؤْمِنُ الْمُهَيْمِنُ الْعَزِيزُ الْجَبَّارُ الْمُتَكَبِّرُ
,(As-Salaam),س ل م,"“He is Allah, other than whom there is no deity, the Sovereign, the Pure, the Perfection, the Bestower of Faith, the Overseer, the Exalted in Might, the Compeller, the Superior…” [59:23]"
35,السَّمِيع,The All Hearing,إِنَّهُ هُوَ السَّمِيعُ البَصِيرُ…
,(‘As-Samee),س م ع,"“…Indeed, He is the Hearing, the Seeing.” [17:1]"
36,الشَاكِر,The Grateful,فَإِنَّ اللّهَ شَاكِرٌ عَلِيمٌ
,(Ash-Shaakir),ش ك ر,"“then indeed, Allah is appreciative (Grateful) and Knowing.” [2:158]"
37,الشَّكُور,The Appreciative,إِنَّهُ غَفُورٌ شَكُورٌ
